title,abstract
Design and Evaluation of an XML-Based Language for Programming Socially Assistive Robots,"Robotic technologies have not only been used in factories, but increasingly in various environments in people’s daily lives. Robots are used as assistive devices and through interaction with these devices it is possible to expand the physical and cognitive capabilities of humans. A new class of robots, Socially Assistive Robots (SARs), arises from the intersection of two other classes, assistive robots, which provide assistance, usually in healthcare settings, and interactive social robots, that communicate with the user. This work proposes an XML-based domain specific language (DSL) to facilitate the specification of interactive sessions for SARs. The proposed language is called EvaML and was designed for an open-source robotics platform. Although firstly implemented and used with EVA, EvaML can also be used with other SARs with similar communication affordances. To evaluate the EvaML language, an experiment was conducted with 12 software developers. Participants assessed EvaML with regards to clarity, effectiveness, perceived ease of use and usability according to 9 cognitive dimensions of the CDN framework (Cognitive Dimensions of Notations). EvaML was also successfully used by another group of 12 high school students and teachers in a series of activities where they designed and implemented interactive educational applications for EVA. Results indicate that EvaML is perceived as easy to use and usable, making it an adequate tool to enact interaction designs for a SAR platform considering different user profiles and levels of knowledge."
"Trends on Computational Thinking, Engineering Education, Technology in Medicine, Qualitative and Mixed Methods, Diversity in STEM, Lab-Based Education, Technology and Education, Gamification and Games for Learning and Smart Learning at TEEM 2022","The 10th edition of the Technological Ecosystems for Enhancing Multiculturality (TEEM 2022) brings together researchers and postgraduate students interested in combining different aspects of the technology applied to knowledge society development, with particular attention to educational and learning issues. This volume includes contributions related to computational thinking, engineering education, technology in medicine, qualitative and mixed methods, diversity in STEM, lab-based education, technology and education, gamification and games for learning and smart learning."
"Development of a course based on BEAM robots to enhance STEM learning in electrical, electronic, and mechanical domains","In this work, BEAM robotics is proposed to enhance the STEM knowledge and skills of engineering students in the electrical, electronic, and mechanical domains. To evaluate the proposal, a course is designed and implemented based on a curriculum with objectives and learning activities centered on the design, construction, and operation of the BEAM robots. In addition, the connection between this proposal and computational thinking is explored. Students learn to recognize each part of robots and how they are related, abstract useful information from an electronic scheme and concretize it in a machine by systematizing their behavior. In addition, thanks to an evaluation of the behavior of the robot, identify the faults and apply the solution, as in the debugging process carried out in software programming. It should be added that BEAM robotics has a sustainable and low-cost aspect, which is used in learning activities where Waste Electrical and Electronic Equipment (WEEE) is recycled, and students are taught to value and integrate these parts into the design of the robots. A pre and post survey and a respective statistical analysis and evaluation of curricular activities are presented as evidence of the improvement observed in students’ STEM knowledge and skills. In general, the results show that this new teaching tool can promote the STEM curriculum in engineering students and motivate implementation, as a new educational robot, at other academic levels such as secondary and pre-secondary education."
Experience in Implementing Computer-Oriented Methodological Systems of Natural Science and Mathematics Research Learning in Ukrainian Educational Institutions,"Taking into account the specifics of the existing dissonance regarding the technical characteristics of computer equipment used in schools in the process of designing computer-oriented methodological systems of natural science and mathematics research learning (COMSRL), the solutions which meet all the necessary requirements, contribute to the effective organization of research activities during research studies at school and are a budget alternative to expensive software are offered. The experience is analyzed. With the aim to increase the motivation and effectiveness of students’ learning the ways of solving the problems of designing variable models of research learning using the components of the COMSRL are considered. The results of the experimental study confirm that due to the use of COMSRL the optimal concentration of educational resources is ensured integrating training courses of robotics tested in the educational process and extracurricular activities; orientation of the content and technologies of students’ preparation for research, manufacturing integration in terms of educational process. To organize the students’ cognitive activity in the field of robotics, a number of constructors have been developed that help the students’ to assemble the structure, create the programme and run the robot model. The results of a wide experiment allowed us to determine the most effective psychopedagogical factors that influence the efficiency of mastering knowledge. It has been shown that in determining the feasibility of applying and selecting the COMSRL it is necessary to give preference to those ones that will help students to develop conceptual structures of knowledge."
Performing a Planetary Exploration Mission from the Classroom,"The concept of a newly developed online teacher training course in robotics by the European Space Agency (ESA) Education Office is presented. The course aims at both primary and secondary school teachers, as the activities proposed are appropriate for students from 8 to 14 years old. Teaching scenario and design strategy of online activities are presented along with the space context used to wrap-up the whole activity. A separate paragraph is dedicated in presenting the activity of Remote Coding. This activity contributes to increase the interactivity of the course and gives participants the feeling of operating a real planetary exploration mission. Finally, a statistical analysis from participants’ feedback is presented. Results show a continuous effort of teachers to implement new Science, Technology, Engineering and Mathematics (STEM) tools to their classes along with a clear preference on more interactive activities concerning the online content delivery method."
E,"educational robotics A subfield of robotics that deals with the teaching of analysis, design, application and operation of robots, mobile robots or autonomous vehicles. The corresponding devices consist of hardware, e.g., preassembled device, kit of components, and software, containing source code and programming environments. It can be taught from elementary school to graduate programs and is often applied in robot tournaments."
Medical Robotics,"An impressive growth of theoretical, methodological, and experimental advancements of robotic components and systems in healthcare applications has characterized the last three decades. Robots are able to support prevention, diagnosis and treatment of a wide range of human diseases. Several industrial medical robots exist, whose performance, reliability and affordability have made them true success stories and turned—in several cases—research concepts into gold standards in clinical care. This chapter will consider four representative domains of medical robotics: surgery, rehabilitation, limb substitution and assistive technology. In each of these domains, robots have reached a rather high level of maturity, so that very interesting and inspiring stories can be told on various aspects of their evolution. Based on these assumptions and objectives, the remainder of this chapter will address the following topics: (i) motivations for developing medical robots, (ii) robots for surgery, (iii) robots for rehabilitation, (iv) robots for limb substitution and (v) robots for assistive services."
Training School Teachers to Use Robots as an Educational Tool: The Impact on Robotics Perception,"This study investigates whether an educational robotics training program for kindergarten, primary, and secondary teachers causes them to change their impressions of a robotic platform. Questionnaires submitted before and after a 3-month training program were used to assess the opinions of 40 teachers. The training program aided in bringing teachers’ expectations closer to the actual potential of the robot. The course seems to level participants’ impressions: differences between STEM and literary teachers before the program are no longer detected after it. Although those with a wider technological background have more willingness to use the robot, all the teachers, in the end, perceived the robotic platform as appreciated and beneficial for the education of students. Our findings highlight the crucial benefit of a training program in robotics for teachers: it not only provides the knowledge to use a robotic platform but also helps form a more informed vision of the possibilities afforded by robotics platforms for education."
The Features of the Formation of the Functional Basis of Reading for Children with Speech Disorders Using Information Technology,"The article discusses the theoretical and methodological aspect of correctional and developmental work aimed at the formation of a functional basis for reading in children with speech disorders. The content of the comprehensive developmental program for the formation of the functional basis of reading in children with general underdevelopment of speech “I want to read” is presented, effective information technologies used in the process of working with children with speech disorders are described. The purpose of the work program: the creation of effective psychological and pedagogical conditions aimed at the formation of a functional basis for reading in children with general underdevelopment of speech. During the implementation of the program, tasks related to the activation of the dictionary, the formation of a general culture of speech in the process of acquaintance with literary works, the development of sound and analytical skills, the development of attention, perception, memory, thinking, and the education of positive motivation for reading in children were solved."
Teaching behaviors in problem-oriented instruction for robotics education,"Robotics education is valuable for developing students’ 21st century competencies. It is of significant importance for teachers and researchers to explore its effective pedagogies. Robotics learning is interdisciplinary, and the most effective pedagogy is problem-oriented instruction. This type of instruction requires students to independently identify heuristic problems which can be categorized into four types: paradox, critical reflection, anomaly, and practice problems. School students are too young to develop sophisticated self-regulated learning, thus requiring guidance from teachers. However, how teachers can best guide students to solve these four types of problems remains unclear. Accordingly, this study aimed to investigate teaching behavioral patterns in the instruction of a robotics course. The participants were 30 seventh-grade students and a teacher. We proposed a Teaching Behavior Coding Scheme and used Lag Sequential Analysis to analyze the course videos to identify various major teaching behaviors and their sequences in the heuristic problems. The results showed that the behaviors included indirect influence, direct influence and wait time. Indirect influence occurred more often than direct influence, and it is argued that enough wait time should be provided in the instruction. Moreover, the results further suggest that paradox is missing from this instruction. The teaching behavior patterns for the three types of problems are discussed. The findings propose a new method to analyze teaching behavior patterns, and also recommend how teachers can support students learning in interdisciplinary robotics courses. The results contribute to the literature by designing the Teaching Behavior Coding Scheme and confirming its use in a robotics course."
Robotics Laboratory Within the Italian School-Work Transition Program in High Schools: A Case Study,"This paper presents a robotics laboratory originated by the collaboration between the university and high school within the Italian school-work transition program. The educational objective of the proposed lab is twofold: 1) ease the transfer of robotic researchers’ expertise into useful means for the students’ learning; 2) teaching by practice the multidisciplinarity of robotics. We exploited the RoboCup Junior Race as a useful scenario to cover topics from 3D printing for fast prototyping to low-level and high-level controller design. An ad-hoc end-of-term student survey confirms the effectiveness of the approach. Finally, the paper includes some considerations on how general problems in the robotic and scientific community, such as gender issues and COVID-19 restrictions, can impact the educational robotics activities."
How to Promote Learning and Creativity Through Visual Cards and Robotics at Summer Academic Project Ítaca,"This paper presents a robotics workshop that aims to encourage high-school students to enrol at university STEAM-related degrees. It is included in a socio-educational program in which we have been involved for several years. The workshop attendees become familiar with the concept of robotics through a set of visual cards that we recently introduced, called STEAMOLUS cards. These cards introduce real-world problems to be solved while learning the basics of robotics. The results suggest theses cards contribute to develop students’ creativity and inspiration."
Theoretical and empirical models underlying the teaching use of LMS platforms in higher education: a systematic review,"The Learning Management Systems (LMS) have garnered attention in Higher Education due to their significant potential as a robust learning tool; however, their mere existence does not guarantee adoption and acceptance. The objective of this study was to analyze quantitative research on the intention and usage of LMS among university professors. The method employed was a systematic review following PRISMA guidelines. Databases such as Scopus, WOS, EBSCOhost, and SciElo were explored from 2013 to 2023. The results indicated that (a) the most frequent objective was to determine factors influencing LMS usage, (b) the average number of participants was 239, (c) the highest productivity (61%) was observed in Asia, (d) the most common limitation about the sample, (e) the most frequently used theoretical model (69%) was the Technology Acceptance Model, (f) the models also included other variables grouped into personal, technological, social, and institutional factors; (g) The predictive power of the models on LMS usage intention was moderate, while for current LMS usage, it ranged from small to moderate; (h) measurements were self-reported; (i) ultimately, the majority measured only the intention of LMS usage (54%), 15% measured only the current usage of LMS, and 31% measured both. In conclusion, limitations, future research directions, and recommendations for the integration and consolidation of LMS usage by faculty are presented."
Deep Reinforcement Learning for Autonomous Mobile Robot Navigation,"Numerous fields, such as the military, agriculture, energy, welding, and automation of surveillance, have benefited greatly from autonomous robots’ contributions. Since mobile robots need to be able to navigate safely and effectively, there was a strong demand for cutting-edge algorithms. The four requirements for mobile robot navigation are as follows: perception, localization, planning a path and controlling movement. Numerous algorithms for autonomous robots have been developed over the past two decades. The number of algorithms that can navigate and control robots in dynamic environments is limited, even though the majority of autonomous robot applications take place in dynamic environments. A qualitative comparison of the most recent Autonomous Mobile Robot Navigation techniques for controlling autonomous robots in dynamic environments with safety and uncertainty considerations is presented in this paper. The work incorporates different angles like the essential technique, benchmarking, and showing parts of the improvement interaction. The structure, pseudocode, tools, and practical, in-depth applications of the particular Deep Reinforcement Learning algorithms for autonomous mobile robot navigation are also included in the research. This study provides an overview of the development of suitable Deep Reinforcement Learning techniques for various applications."
Off-policy evaluation for tabular reinforcement learning with synthetic trajectories,"This paper addresses the problem of offline evaluation in tabular reinforcement learning (RL). We propose a novel method that leverages synthetic trajectories constructed from the available data using a “sampling with replacement” basis, combining the advantages of model-based and Monte Carlo policy evaluation. The method is accompanied by theoretically derived finite sample upper error bounds, offering performance guarantees and allowing for a trade-off between statistical efficiency and computational cost. The results from computational experiments demonstrate that our method consistently achieves lower upper error bounds and relative mean square errors compared to Importance Sampling, Doubly Robust methods, and other existing approaches. Furthermore, this method achieves these superior results in significantly shorter running times compared to traditional model-based approaches. These findings highlight the effectiveness and efficiency of this synthetic trajectory method for accurate offline policy evaluation in RL."
Aerial Robots: To Use or not to Use Them in Teaching and Learning?,"The aim of this study was to examine pre-service and in-service teachers’ perceptions regarding the use of drones in teaching. The study sample consisted of 80 pre-service and 101 in-service teachers. After a brief introduction to drone technology, the participants completed tasks that required assembling, programming, virtually simulating and flying 16 multirotor drones. Data were collected via an online questionnaire using variables and questions adapted from the Theory of Planned Behavior. The results indicated that pre-service and in-service teachers showed positive attitudes, intention and behavioral beliefs towards using drones in teaching. A positive correlation between attitudes and intention was found. Results also indicated that a number of pupil skills and subjects will be enhanced by using drones in the classroom. Finally, pre-service teachers had stronger intentions and more positive attitudes, behavioral beliefs and perceptions compared to in-service teachers. This study has a number of implications regarding the use of drones in teaching as well as the need to develop teacher training programs in order to successfully integrate drone technology into future classrooms."
Using mobile applications in the study of vocal skills,"This article reflects the results of a study involving second- and fourth-year students from Harbin University (Harbin, China), the Chinese Academy of Arts (Hangzhou, China), and the Central Academy of Drama (Beijing, China). The work analyzed the impact of specialized mobile applications Vox Tools: Learn to Sing and Swiftscales Vocal Trainer on the vocal learning process, depending on the age and gender of students. The study, which ran from February to June during the academic year 2020-2021, involved 180 students. The study confirms the effectiveness of multimedia, demonstrating the higher scores of the experimental groups on the five assessment criteria, compared with the control groups, which did not use mobile applications. It was also found that age in two groups of students (second and fourth year) had no effect on performance, regardless of whether the mobile app was used for vocal training. A correlation was found between age and overall student performance, with second-year students showing lower grades in all groups compared to their fourth-year counterparts. Research on current mobile vocal training apps can help improve vocal learning."
Open Design Meets Robotics - Customizable Educational Robot Construction System,"The aim of the described design assignment was to develop modular and customizable construction kit for building the mobile robotic platforms with various controller boards. The project was co-developed by Institute of Design and Institute of Automotive Mechatronics at STU in Bratislava. Authors have applied the principles of open design to create fully functional, ready to use construction of an educational robot, fully produced by low cost FDM 3D printing technology. The paper describes the broader context of the project, development and prototyping of the Acrob3 platform."
Promoting Microelectronic Through Remote FPGA Based Laboratory,"Educational continuity has been made possible by the fact that teacher education and teacher collaboration systems have evolved rapidly to provide teachers with the knowledge and skills they need both to adopt new pedagogies and to support students and their families during the pandemic. Therefore, it is recommended that the ongoing professional development of teachers be more integrated into the organization of their educational work. Now, what tools can we offer students to continue doing practices from home in the same way as if they were in the university's laboratories? It seems that more than ever remote laboratories are the solution or perhaps the best alternative. A remote laboratory could be defined as a set of hardware and software technologies that allow the user, through the Internet, to carry out an experiment in the same way as if they were in the face-to-face laboratory. There are a lot of benefits of using remote laboratories in the learning process. From our side, and what is the object of this contribution, we have developed a series of seminars through which we develop educational content around microelectronics. During these remote access seminars, attendees have been able to use LabsLand's remote FPGA (Field Programmable Gate Array) laboratories to experiment while developing the theoretical contents and challenges proposed."
Learning Newtonian Physics through Programming Robot Experiments,"Novel technology has been applied to improve students’ learning abilities in different disciplines. The research in this field is still finding suitable methodologies, tools, and evaluation mechanisms to devise learning frameworks with high impact on students’ performance. This article describes an instructional method to perform Newtonian physics experiments by programming a mobile robot. Such experiments allow the learners to design, implement and visualize physics concepts, thus using the robot as a cognitive tool or mindtool . An accurate assessment of the students learning gain, involving 29 high-school students, shows that the proposed method provided significant improvements in the students understanding of the first Newton’s law, the second Newton law and the superposition principle. The learning gain has been measured through the Force Concept Inventory questionnaire. From this study, we can state that programming a mobile robot to perform physics experiments can improve knowledge about Newtonian physics, even without giving specific lectures in the subject and with a much shorter lecture plan with respect to traditional lectures."
Integrating LLM-based code optimization with human-like exclusionary reasoning for computational education,"Large Language Models (LLMs) are increasingly deployed as intelligent tutors that not only generate but also refine source code for educational purposes. Yet existing end-to-end fine-tuning strategies compel models to transform every input, often introducing superfluous or even detrimental edits that undermine both software quality and pedagogical clarity. We address this limitation by formulating exclusionary reasoning-the human practice of asking “Should I optimize?” before acting-as an explicit decision layer in the code-optimization pipeline. Concretely, we devise a two-stage framework in which an LLM first diagnoses whether a code segment merits modification and proceeds with optimization only when necessary, otherwise returning the original snippet verbatim. Implemented on a suite of open-source models and trained with publicly available Python corpora, our method proves model-agnostic and lightweight. Experiments on three standard benchmarks show consistent gains in functional correctness (pass@1/3/5) over conventional fine-tuning, yielding feedback that is both more accurate and easier for students to interpret. By aligning automated optimization with human selective judgment, the proposed framework transforms LLMs from indiscriminate code generators into credible virtual teaching assistants that intervene sparingly, explain clearly, and foster deeper learning of principled programming practices."
Game-Based Storytelling with a Robot Character: Activating Computational Thinking in Young Children,"Computational thinking (CT), defined through its dimensions of abstraction, generalization, algorithmic thinking, and evaluation, fosters cognitive skills for solving problems logically and systematically, preparing individuals for the challenges of the digital society, where interaction with machines is essential. This empirical pre-experimental study arises from an individualized intervention with students aged 4–6 (N = 82), aimed at measuring their level of CT. Its originality lies in involving them in a story featuring a robot, whose mission is to help a turtle recover its habitat. To achieve this, they must program the robot to follow a predetermined route and overcome various challenges. Thus, the CT-Robot-DST scale was designed and validated, consisting of 14 indicators with 4 performance levels, to record the observed level of CT during the intervention (27′ 30′′ per child). This scale assesses their skills in task planning and sequencing, logical reasoning, lateralization, spatial orientation, understanding and identifying the buttons to program the robot’s movements, memorization, counting, eye-hand coordination, problem-solving, effectiveness, and engagement with the story. The results show that the majority of the students engaged in the story, expressed interest in planning and executing the required tasks, successfully programmed the robot, solved problems, and overcame the proposed challenges. Thus, 78.1% of the students scored close to the high CT level. The more autonomous students performed better. Undoubtedly, this intervention, focused on completing various tasks structured around a narrative featuring a robot, represents an innovative approach that involves students in the storyline to solve the challenges."
"How are primary school computer science curricular reforms contributing to equity? Impact on student learning, perception of the discipline, and gender gaps","Background Early exposure to Computer Science (CS) and Computational Thinking (CT) for all is critical to broaden participation and promote equity in the field. But how does the introduction of CS and CT into primary school curricula impact learning, perception, and gaps between groups of students? Methodology We investigate a CS-curricular reform and teacher Professional Development (PD) programme from an equity standpoint by applying hierarchical regression and structural equation modelling on student learning and perception data from three studies with, respectively, 1384, 2433 and 1644 grade 3–6 students (ages 7–11) and their 83, 142 and 95 teachers. Results Regarding learning, exposure to CS instruction appears to contribute to closing the performance gap between low-achieving and high-achieving students, as well as pre-existing gender gaps. Despite a lack of direct influence of what was taught on student learning, there is no impact of teachers’ demographics or motivation on student learning, with teachers’ perception of the CS-PD positively influencing learning. Regarding perception, students perceive CS and its teaching tools (robotics, tablets) positively, and even more so when they perceive a role model close to them as doing CS. Nonetheless, gender differences exist all around with boys perceiving CS more positively than girls despite access to CS education. However, access to CS-education affects boys and girls differently: larger gender gaps are closing (namely those related to robotics), while smaller gaps are increasing (namely those related to CS and tablets). Conclusion This article highlights how a CS curricular reform impacts learning, perception, and equity and supports the importance of (i) early introductions to CS for all; (ii) preparing teachers to teach CS all the while removing the influence of teacher demographics and motivation on student outcomes; and (iii) having developmentally appropriate activities that signal to all groups of students."
Vsimgen: A Proposal for an Interactive Visualization Tool for Simulation of Production Planning and Control Strategies,"We propose the development of an interactive visualization and analysis tool, Vsimgen , for production planning and control (PPC) strategies to be analyzed with simulation generator software ( simgen ). This generic and scalable discrete simulation model is commonly used to deal with optimization problems in PPC, such as MRP II (manufacturing resource planning). The concept is to provide an easy to use visual interface that hides complex details and can execute multiple steps of discrete simulations for PPC using various user interactive and visualization options for data selection and preprocessing, parameterization, and experimental design. We also emphasize collaboration by users from various domains of industrial production. With collaboration, effective PPC strategies can be executed that consider various production details provided by domain experts, managing different production-related tasks, and yielding better insight into the various production-related problems."
"Relations between preservice teachers’ self-efficacy, computational thinking skills and metacognitive self-regulation","Computational thinking skills are thought to have a significant part in almost every area and profession in the future. Yet, there is no sufficient number of studies in the literature to understand computational thinking and to reveal its nomological network. Therefore, the purpose of this study was to determine the relations between preservice teachers’ self-efficacy for learning and performance, computational thinking skills and metacognitive self-regulation. A total of 464 preservice teachers in a public university participated in this study. The Motivated Strategies for Learning Questionnaire was used to measure preservice teachers’ self-efficacy for learning and performance and metacognitive self-regulation. In addition, the Computational Thinking Scale was used to determine the preservice teachers’ computational thinking skills. The data were analysed using descriptive statistics, Pearson’s correlation, confirmatory factor analysis and path analysis. Results showed that preservice teachers’ computational thinking skills were significantly positively correlated with self-efficacy for learning and performance and metacognitive self-regulation."
"Mendieta, One Robot Per School: Multi-user Robot for Technology Education","In recent years, the use of physical computing devices in Argentinian schools has been growing steadily. The insertion of robotics in the classroom allows addressing a set of technology-related subjects, such as mechanics, electronics, and programming. It is no coincidence that the Argentine educational system has incorporated these subjects into its curricular design, as well as the introduction of new technical schools aimed at programming and robotics. However, the cost of the equipment, the difficulty of maintenance, and the technical knowledge required to be able to properly use this resource in an educational context are limiting factors that hinder the potential to reach all schools. For these reasons, a project has been designed to overcome these difficulties: a low-cost autonomous robot controlled by an Arduino Nano, with a web server built into an Orange Pi computer, which allows programming by multiple users at the same time, queuing the execution orders in such a way that with a single device an entire class can work seamlessly. This allows the introduction of robotics in a school with a cost of less than USD 180. Additionally, all the development of both hardware and software is open source, offering the community a framework for building other robots with the same architecture."
Exploiting VR and AR Technologies in Education and Training to Inclusive Robotics,"Nowadays, robotics applications are no more limited to industrial rigid production cells or research laboratories and are spreading in several domains in which interaction with humans is required. In this context, educating professionals, workers, and students in the use and understanding of robotic systems is paramount to ensure the social acceptance and uptake of interactive robots. At the same time, the request for innovative training and teaching methodologies is growing, and virtual and augmented reality technologies as educational tools are gaining the attention of public institutions, companies, and healthcare facilities. In this paper, we focus on how VR/AR technologies can be exploited to teach robotics and to train in the use of specific robot platforms, providing a review of the available resources and discussing their advantages and disadvantages in the “inclusive robotics” perspective."
Robotics in the international educational space: Integration and the experience,"Nowadays robotics is one of promising avenues in the sphere of emerging technologies. In the teaching/learning environment we deal with educational robotics, which is a mixture of theory and practice, knowledge of computer technology, Mathematics and Physics. The two vectors are combined in educational robotics: the educational vector and the technological vector. As an academic discipline and an area of practical application, Robotics means a very broad spectrum of modern knowledge of diverse academic engineering specialties (fields of expertise). That means that Robotics is interdisciplinary in nature. The work provides an overview of the research aimed at studying Robot – Man interaction. Besides, the work considers some promising international cooperation between children from around the world on the development of robotics, and the experience and benefits gained from such cooperation. As an example of the international cooperation in the sphere of Robotics, the two countries, Russia and Kazakhstan, are considered. The article gives an example of the international cooperation of some educational centers, describes the experience of the work on robotics with children of various ages, and the cooperation of various schools working in this field in Kazakhstan and Russia. The working experience in the sphere of social robotics aimed at helping people has become a priority for the children from the interdisciplinary teams from Russia and Kazakhstan. Interaction and cooperation in the sphere of robotics was also used for introducing unconventional curricula, which included courses on robotic technologies as tools for considering social aspects of robotics and artificial intelligence."
"Tell, Draw and Code – Teachers’ Intention to a Narrative Introduction of Computational Thinking","The increasing importance of introducing computer science and computational thinking in primary education highlights the need to prepare teachers adequately. This study reports on professional teacher training in programming. It draws on the Technology Usage Inventory (TUI) model to investigate how an interdisciplinary intervention with programmable robots, combined with the storytelling method, can influence the intention to use them in the classroom. Special focus is given to the Tell, Draw & Code method to offer teachers a didactic concept for implementation. The floor robots used in this study are Bee-bots. At the beginning and end of the teacher training course, the participating teachers completed a questionnaire about their perceptions, attitudes, and intentions about using robots in the classroom. In addition, after designing and implementing activities with robots, the teachers provided qualitative reflections on their experiences. In comparing pre-and post-test and the analyses of the qualitative data, the study shows a significant increase in the positive attitude towards using the robots. These findings highlight the need for teachers to have opportunities to explore, reflect on and experience the potential of new technologies as part of their teacher development to implement innovations sustainably."
"A critical evaluation, challenges, and future perspectives of using artificial intelligence and emerging technologies in smart classrooms","The term ""Smart Classroom"" has evolved over time and nowadays reflects the technological advancements incorporated in educational spaces. The rapid advances in technology, and the need to create more efficient and creative classes that support both in-class and remote activities, have led to the integration of Artificial Intelligence and smart technologies in smart classes. In this paper we discuss the concept of Artificial Intelligence in Education and present a literature review related to smart classroom technology, with an emphasis on emerging technologies such as AI-related technologies. As part of this survey key technologies related to smart classes used for effective class management that enhance the convenience of classroom environments, the use of different types of smart teaching aids during the educational process and the use of automated performance assessment technologies are presented. Apart from discussing a variety of technological accomplishments in each of the aforementioned areas, the role of AI is discussed, allowing the readers to comprehend the importance of AI in key technologies related to smart classes. Furthermore, through a SWOT analysis, the Strengths, Weaknesses, Opportunities, and Threats of adopting AI in smart classes are presented, while the future perspectives and challenges in utilizing AI-based techniques in smart classes are discussed. This survey targets educators and AI professionals so that the former get informed about the potential, and limitations of AI in education, while the latter can get inspiration from the challenges and peculiarities of educational AI-based systems."
Artificial Cognitive Systems Applied in Executive Function Stimulation and Rehabilitation Programs: A Systematic Review,"This article presents a systematic review of studies on cognitive training programs based on artificial cognitive systems and digital technologies and their effect on executive functions. The aim has been to identify which populations have been studied, the characteristics of the implemented programs, the types of implemented cognitive systems and digital technologies, the evaluated executive functions, and the key findings of these studies. The review has been carried out following the PRISMA protocol; five databases have been selected from which 1889 records were extracted. The articles were filtered following established criteria, to give a final selection of 264 articles that have been used for the purposes of this study in the analysis phase. The findings showed that the most studied populations were school-age children and the elderly. The most studied executive functions were working memory and attentional processes, followed by inhibitory control and processing speed. Many programs were commercial, customizable, gamified, and based on classic tasks. Some more recent initiatives have begun to incorporate user-machine interfaces, robotics, and virtual reality, although studies on their effects remain scarce. The studies recognize multiple benefits of computerized neuropsychological stimulation and rehabilitation programs for executive functions in different age groups, but there is a lack of studies in specific population sectors and with more rigorous research designs."
Disrupted Lessons in Engineering Robotics: Pivoting Knowledge Transfer From Physical to Virtual Learning Environments,"This study examined the effects of an Arduino microrobot activity on college students’ interest in robotics through three specific objectives: (1) determining how students’ conceptual understanding regarding the basics of microcomputing and computer programming changes after engaging in an engineering robotics learning module, (2) assessing the impact of these changes on students’ sense of competence in engineering robotics, and (3) explaining the role of students’ perceived knowledge transferability in the relationship between their sense of competence and changes in their interest for pursuing engineering robotics. Participants (n = 58) were recruited from two Engineering Physics courses and surveyed before (Time 1) and after (Time 2) an Arduino microcomputing learning activity. First, significant increases were reported post-activity for interest in robotics, as well as conceptual understanding of microelectronics and computer programming. Second, changes in the understanding of computer programming significantly predicted students’ sense of competence at Time 2. Finally, high and low levels of competence and perceived knowledge transferability were related to changes in students’ interest in robotics. Moreover, high levels of perceived knowledge transferability alone played an important role in students’ interest in robotics. Transferring complex engineering ideas to novel situations was beneficial regarding students’ learning gains associated with computer programming and with the Arduino microcontroller platform. An overview of the virtual lab architecture used is provided with suggested novel directions for teaching college-level courses about engineering robotics."
Project-first approach to programming in K–12: Tracking the development of novice programmers in technology-deprived environments,"Several instructional approaches have been advanced for learning programming. However, effective ways of engaging beginners in programming in K–12 are still unclear, especially among low socioeconomic status learners in technology-deprived learning environments. Understanding the learning path of novice programmers will bridge this gap and explain what constitutes an effective learning path for novice. Thirty-eight students from technology-deprived schools participated in a 10-h project-first constructionist learning. Using the Friedman test of repeated measures and Spearman’s rank correlation, trends in the students’ programming ability were evaluated. The findings showed that the students’ programming ability increased on the first day, remained stable throughout the intervention, and were not affected by either semantics or syntax of the Python programming language. However, the features of a program were inconclusive determinants of programming skills. The irregular patterns of programming concepts within and between the learners’ programming solutions suggest focusing on pedagogies that encourage project-first learning. A constructionist model of learning and the challenges educators may encounter amongst novice learners with low socioeconomic status are highlighted."
Performance Enhancement of a Neato XV-11 Laser Scanner Applied to Mobile Robot Localization: A Stochastic Modeling Approach,"Laser scanners are widely used in mobile robotics localization systems but, despite the enormous potential of its use, their high price tag is a major drawback, mainly for hobbyist and educational robotics practitioners that usually have a reduced budget. The Neato XV-11 Laser Scanner is a very low cost alternative, when compared with the current available laser scanners, being this fact the main motivation for its use. The modeling of a hacked Neato XV-11 Laser Scanner allows to provide valuable information that can promote the development of better designs of robot localization systems based on this sensor. This paper presents, as an example, the performance enhancement of a Neato XV-11 Laser Scanner applied to mobile robot self-localization, being used as case study the Perfect Match Algorithm applied to the Robot@Factory competition."
Introducing Maker Movement in Educational Robotics: Beyond Prefabricated Robots and “Black Boxes”,"Nowadays, several studies assure that digital fabrication and making technologies, if coupled with proper learning methodologies such as constructivism and constructionism, can provide learning experiences that promote young people’s creativity, critical thinking, teamwork and problem-solving skills – the essential skills necessary in the workplace of the twenty-first century. Robotic technologies combined with digital fabrication and DIY electronics emerge as unique making tools that can create a learning environment attracting and keeping learners interested and motivated with hands-on, fun learning activities. The “maker movement” is seen as an inspiring and creative way for youth to deal with our world and able to develop technological interest and competences. However, in the field of educational robotics, the focus is often on prefabricated robots and ready-made code to program behaviours for the robots. This way, robotics is conceived as “black box” for children who are invited to play or interact with a robot without understanding “what’s inside” and how it works. The project eCraft2Learn researched, designed, piloted and evaluated an ecosystem intended to introduce digital fabrication and maker movement in formal and informal education, to make robots transparent for children and finally to help them make their own robotic artefacts."
